question,document
Is it too late to enroll since I just found out about the program?,74eb249bbf
Can I catch up and start participating even though the course has already kicked off?,74eb249bbf
"If I join now, will I still be eligible to earn the official completion certificate?",74eb249bbf
Are late sign-ups allowed for students wanting to get certified?,74eb249bbf
What is the deal with submitting my final project if I just joined the cohort?,74eb249bbf
"I signed up for the course but haven't gotten an email yet, should I be worried?",977bf7786c
Is a confirmation email required before I can actually start the course content?,977bf7786c
Do I need to wait for my registration to be approved before jumping into the assignments?,977bf7786c
How does the course verify that I am actually enrolled if there is no confirmation email?,977bf7786c
What is the point of registering if I can just start submitting the homework immediately?,977bf7786c
Where can I find the direct Zoom link to join the live workshop sessions?,489dd1c9d9
How should I go about submitting my questions during the live streams?,489dd1c9d9
Where will the video URL for the session be shared right before it starts?,489dd1c9d9
Is there a specific place I should look to watch the live workshops if I miss the initial link?,489dd1c9d9
"Should I be typing my questions directly into the chat, or is there a better way to make sure they get seen?",489dd1c9d9
Where can I find the main resources and documentation to get going with the LLM Zoomcamp?,04919992b3
Is there a specific start date for the course or can I jump in whenever I feel like it?,04919992b3
What is the recommended routine I should follow each week to keep up with the lessons?,04919992b3
Where should I actually turn in my homework assignments once I finish them?,04919992b3
Does the homework follow a similar structure to the material covered in the lesson videos?,04919992b3
How can I find my spot on the leaderboard if I don't know my username?,c2903069a0
Where do I go to see what name is currently being displayed for my account?,c2903069a0
Can I change the nickname assigned to me so it matches my GitHub handle?,c2903069a0
Is it possible to use a custom name for the leaderboard instead of the random one?,c2903069a0
What do I need to update in my profile to make sure my real name shows up on my certificate?,c2903069a0
Can I still earn my certificate if I decide to go through the lectures at my own speed?,69d122f12e
Is it possible to get certified without joining the live cohort for the actual lessons?,69d122f12e
What exactly do I need to finish in order to qualify for the course certificate?,69d122f12e
Do I have to submit all the weekly homework assignments to receive the final certification?,69d122f12e
When exactly am I supposed to turn in my capstone project if I am not following the live schedule?,69d122f12e
Is it still possible to earn the certificate if I failed to turn in the initial assignment?,9f689c185f
Do I absolutely have to complete all the homework tasks to qualify for certification?,9f689c185f
What specifically do I need to finish in order to graduate from this program?,9f689c185f
Does my missing homework score negatively impact my ability to receive the final certificate?,9f689c185f
Are the weekly assignments required for passing or are they just there for practice?,9f689c185f
Is it safe to start the assignments before the deadline or should I wait?,96286b4be4
How do I know if the current homework version is actually final?,96286b4be4
What does it mean when I see a bracketed draft label in the lesson materials?,96286b4be4
"If the form isn't active on the platform, does that mean the content might still be updated?",96286b4be4
Can I lose progress if I try to get ahead on the work while it's still being edited?,96286b4be4
Any idea when the next session starts?,bd31146b0e
Is there a date set for the upcoming cohort?,bd31146b0e
When can I expect this course to run again?,bd31146b0e
Does the course happen later this year or should I wait until 2027?,bd31146b0e
Do you know if this is going to be available again in the summer of 2027?,bd31146b0e
Where can I find all the lecture videos for this course?,31456f4b5f
Is there a central place to access all the lesson materials and videos?,31456f4b5f
Should I be checking the YouTube playlist or somewhere else for the official lessons?,31456f4b5f
Where should I look if I need to find the specific video links for each lesson?,31456f4b5f
Is the GitHub repo the best place to go for all the updated course content?,31456f4b5f
Where is the main hub for checking out the upcoming schedule and course milestones?,20c5a1347e
Is there a specific link where I can monitor my assignment submissions and overall course standing?,20c5a1347e
How do I keep tabs on the course curriculum and all the important due dates?,20c5a1347e
Where should I look to see what the current cohort is working on right now?,20c5a1347e
Does this course use the same dashboard system as the previous DataTalks bootcamps for tracking work?,20c5a1347e
Are we supposed to attend live lectures for every single module in the course?,d65e05bd7a
Where can I find the recorded lessons if I missed the live stream?,d65e05bd7a
How should I get help if I run into issues while working through the materials?,d65e05bd7a
Is there any way to join extra office hours if I need more guidance?,d65e05bd7a
Is the AI Shipping Labs membership required to finish the free content?,d65e05bd7a
Are we allowed to share our progress on Bluesky for the learning in public points?,dbf5369006
Does posting about what I'm studying on Bluesky count toward my credit score?,dbf5369006
Can I get credit for working in public if I use Bluesky instead of Twitter?,dbf5369006
Is Bluesky an accepted platform for the learning in public requirement for this course?,dbf5369006
Will I still get credit if I document my journey on Bluesky?,dbf5369006
Is there a link where I can join the official Telegram group for this course?,054f3fd58f
How do I find the Telegram channel to keep up with course announcements?,054f3fd58f
Where should I post if I have specific questions about the course content?,054f3fd58f
Are we supposed to use the Telegram channel for discussing technical problems?,054f3fd58f
Where is the best place to talk to other students about technical issues?,054f3fd58f
Why do I have a different number of entries than what is shown in the recorded lecture?,e2d595f23c
Is it normal that my dataset size doesn't match the one the instructor is using in the video?,e2d595f23c
"Since the videos are from May, should I be worried that my data count is not the same?",e2d595f23c
Will the discrepancy in the number of records affect my ability to follow the course materials?,e2d595f23c
Does the live nature of the FAQ dataset explain why my results look different from the lesson video?,e2d595f23c
Is it okay to turn in my assignment even though the due date already went by?,a9353fadfe
Can I still upload my work if the link is active but I missed the cut-off?,a9353fadfe
Will you penalize me if I submit after the deadline but the form is open?,a9353fadfe
What happens if I submit my homework late while the link is working?,a9353fadfe
Should I bother turning in my task if the submission window is still up?,a9353fadfe
Is it possible to get an extension if I miss the due date?,cdc3b285e5
What happens if I forget to turn in an assignment before the form closes?,cdc3b285e5
Does failing to complete my homework mean I won't get a certificate?,cdc3b285e5
Am I still eligible for the leaderboard if I skip some of the assignments?,cdc3b285e5
Can I still submit my work if the deadline is past but the form link still works?,cdc3b285e5
Is my real name going to be visible to others if I put it in the certificate box?,651ba06b34
Do you guys share the name on my certificate with any outside companies?,651ba06b34
How does the leaderboard handle my name so it stays private?,651ba06b34
Can I use a nickname for the rankings while keeping my actual name for the certificate?,651ba06b34
Where should I go if I want to update how my name appears on the leaderboard versus the final document?,651ba06b34
Is there a reason we skipped Langchain for this bootcamp?,b7cdde6b25
Why are we coding the retrieval and prompting logic from scratch?,b7cdde6b25
Would it be better to just use a framework like Langchain instead of building these components manually?,b7cdde6b25
